checkpoint,condition,episodes,kill_fraction,mean_return,mean_decisions
0,scratch,40,0.375,-211.1,24.4
0,culture,40,0.375,-211.1,24.4
0,wrong_packet,40,0.375,-211.1,24.4
1000,scratch,40,1.0,82.725,2.475
1000,culture,40,1.0,80.6,2.6
1000,wrong_packet,40,0.0,-387.375,38.0
2000,scratch,40,1.0,82.35,2.45
2000,culture,40,1.0,79.125,2.65
2000,wrong_packet,40,0.0,-384.875,38.0
4000,scratch,40,1.0,80.075,2.675
4000,culture,40,1.0,79.275,2.65
4000,wrong_packet,40,0.0,-380.75,38.0
8000,scratch,40,1.0,82.65,2.45
8000,culture,40,1.0,83.725,2.35
8000,wrong_packet,40,0.975,63.025,4.15
