teacher,student,control,budget,n,mean_action_acc,mean_sequence_success,perfect_runs
fly,mlp,correct,0,3,0.4583333333333333,0.041666666666666664,0
fly,mlp,correct,32,3,0.5555555555555556,0.041666666666666664,0
fly,mlp,correct,64,3,0.6527777777777778,0.25,0
fly,mlp,correct,128,3,0.9444444444444443,0.8333333333333334,1
fly,mlp,correct,256,3,1.0,1.0,3
fly,mlp,wrong,0,3,0.4583333333333333,0.041666666666666664,0
fly,mlp,wrong,32,3,0.4305555555555556,0.0,0
fly,mlp,wrong,64,3,0.3194444444444444,0.0,0
fly,mlp,wrong,128,3,0.027777777777777776,0.0,0
fly,mlp,wrong,256,3,0.0,0.0,0
fly,transformer,correct,0,3,0.47222222222222215,0.0,0
fly,transformer,correct,32,3,0.6666666666666666,0.25,0
fly,transformer,correct,64,3,0.8055555555555555,0.4583333333333333,0
fly,transformer,correct,128,3,0.9305555555555555,0.7916666666666666,1
fly,transformer,correct,256,3,1.0,1.0,3
fly,transformer,wrong,0,3,0.47222222222222215,0.0,0
fly,transformer,wrong,32,3,0.4166666666666667,0.041666666666666664,0
fly,transformer,wrong,64,3,0.3194444444444444,0.0,0
fly,transformer,wrong,128,3,0.027777777777777776,0.0,0
fly,transformer,wrong,256,3,0.0,0.0,0
mlp,fly7102,correct,0,3,0.5833333333333334,0.125,0
mlp,fly7102,correct,32,3,0.5833333333333334,0.20833333333333334,0
mlp,fly7102,correct,64,3,0.5833333333333334,0.20833333333333334,0
mlp,fly7102,correct,128,3,0.6388888888888888,0.25,0
mlp,fly7102,correct,256,3,0.8194444444444445,0.5833333333333334,0
mlp,fly7102,correct,512,3,1.0,1.0,3
mlp,fly7102,wrong,0,1,0.5833333333333334,0.125,0
mlp,fly7102,wrong,32,1,0.5833333333333334,0.0,0
mlp,fly7102,wrong,64,1,0.5,0.0,0
mlp,fly7102,wrong,128,1,0.4166666666666667,0.125,0
mlp,fly7102,wrong,256,1,0.125,0.0,0
mlp,fly7102,wrong,512,1,0.0,0.0,0
mlp,fly7103,correct,0,3,0.375,0.0,0
mlp,fly7103,correct,32,3,0.5833333333333334,0.125,0
mlp,fly7103,correct,64,3,0.625,0.20833333333333334,0
mlp,fly7103,correct,128,3,0.625,0.125,0
mlp,fly7103,correct,256,3,0.7083333333333334,0.25,0
mlp,fly7103,correct,512,3,1.0,1.0,3
mlp,fly7103,wrong,0,1,0.375,0.0,0
mlp,fly7103,wrong,32,1,0.3333333333333333,0.0,0
mlp,fly7103,wrong,64,1,0.3333333333333333,0.0,0
mlp,fly7103,wrong,128,1,0.375,0.0,0
mlp,fly7103,wrong,256,1,0.25,0.0,0
mlp,fly7103,wrong,512,1,0.0,0.0,0
transformer,fly7102,correct,0,3,0.5833333333333334,0.125,0
transformer,fly7102,correct,32,3,0.5555555555555556,0.125,0
transformer,fly7102,correct,64,3,0.5972222222222222,0.125,0
transformer,fly7102,correct,128,3,0.5694444444444445,0.125,0
transformer,fly7102,correct,256,3,0.6944444444444445,0.25,0
transformer,fly7102,correct,512,3,0.9722222222222223,0.9166666666666666,1
transformer,fly7102,correct,768,2,1.0,1.0,2
transformer,fly7102,wrong,0,1,0.5833333333333334,0.125,0
transformer,fly7102,wrong,32,1,0.5,0.125,0
transformer,fly7102,wrong,64,1,0.4583333333333333,0.0,0
transformer,fly7102,wrong,128,1,0.375,0.0,0
transformer,fly7102,wrong,256,1,0.2916666666666667,0.0,0
transformer,fly7102,wrong,512,1,0.0,0.0,0
transformer,fly7103,correct,0,3,0.375,0.0,0
transformer,fly7103,correct,32,3,0.5694444444444445,0.125,0
transformer,fly7103,correct,64,3,0.5833333333333334,0.16666666666666666,0
transformer,fly7103,correct,128,3,0.625,0.16666666666666666,0
transformer,fly7103,correct,256,3,0.75,0.3333333333333333,0
transformer,fly7103,correct,512,3,0.9861111111111112,0.9583333333333334,2
transformer,fly7103,correct,768,1,1.0,1.0,1
transformer,fly7103,wrong,0,1,0.375,0.0,0
transformer,fly7103,wrong,32,1,0.5,0.0,0
transformer,fly7103,wrong,64,1,0.4166666666666667,0.125,0
transformer,fly7103,wrong,128,1,0.3333333333333333,0.0,0
transformer,fly7103,wrong,256,1,0.2916666666666667,0.0,0
transformer,fly7103,wrong,512,1,0.0,0.0,0
