teacher,student,rep,budget,action_acc,sequence_success,control
fly,mlp,1,0,0.5,0.0,correct
fly,mlp,1,32,0.5,0.0,correct
fly,mlp,1,64,0.6666666666666666,0.25,correct
fly,mlp,1,128,1.0,1.0,correct
fly,mlp,1,256,1.0,1.0,correct
fly,mlp,1,0,0.5,0.0,wrong
fly,mlp,1,32,0.4583333333333333,0.0,wrong
fly,mlp,1,64,0.3333333333333333,0.0,wrong
fly,mlp,1,128,0.0,0.0,wrong
fly,mlp,1,256,0.0,0.0,wrong
fly,mlp,2,0,0.5,0.125,correct
fly,mlp,2,32,0.5833333333333334,0.125,correct
fly,mlp,2,64,0.7083333333333334,0.375,correct
fly,mlp,2,128,0.9166666666666666,0.75,correct
fly,mlp,2,256,1.0,1.0,correct
fly,mlp,2,0,0.5,0.125,wrong
fly,mlp,2,32,0.4166666666666667,0.0,wrong
fly,mlp,2,64,0.3333333333333333,0.0,wrong
fly,mlp,2,128,0.08333333333333333,0.0,wrong
fly,mlp,2,256,0.0,0.0,wrong
fly,mlp,3,0,0.375,0.0,correct
fly,mlp,3,32,0.5833333333333334,0.0,correct
fly,mlp,3,64,0.5833333333333334,0.125,correct
fly,mlp,3,128,0.9166666666666666,0.75,correct
fly,mlp,3,256,1.0,1.0,correct
fly,mlp,3,0,0.375,0.0,wrong
fly,mlp,3,32,0.4166666666666667,0.0,wrong
fly,mlp,3,64,0.2916666666666667,0.0,wrong
fly,mlp,3,128,0.0,0.0,wrong
fly,mlp,3,256,0.0,0.0,wrong
fly,transformer,1,0,0.5,0.0,correct
fly,transformer,1,32,0.7083333333333334,0.25,correct
fly,transformer,1,64,0.75,0.25,correct
fly,transformer,1,128,0.875,0.625,correct
fly,transformer,1,256,1.0,1.0,correct
fly,transformer,1,0,0.5,0.0,wrong
fly,transformer,1,32,0.2916666666666667,0.0,wrong
fly,transformer,1,64,0.25,0.0,wrong
fly,transformer,1,128,0.0,0.0,wrong
fly,transformer,1,256,0.0,0.0,wrong
fly,transformer,2,0,0.4583333333333333,0.0,correct
fly,transformer,2,32,0.5416666666666666,0.125,correct
fly,transformer,2,64,0.875,0.625,correct
fly,transformer,2,128,1.0,1.0,correct
fly,transformer,2,256,1.0,1.0,correct
fly,transformer,2,0,0.4583333333333333,0.0,wrong
fly,transformer,2,32,0.4583333333333333,0.0,wrong
fly,transformer,2,64,0.3333333333333333,0.0,wrong
fly,transformer,2,128,0.08333333333333333,0.0,wrong
fly,transformer,2,256,0.0,0.0,wrong
fly,transformer,3,0,0.4583333333333333,0.0,correct
fly,transformer,3,32,0.75,0.375,correct
fly,transformer,3,64,0.7916666666666666,0.5,correct
fly,transformer,3,128,0.9166666666666666,0.75,correct
fly,transformer,3,256,1.0,1.0,correct
fly,transformer,3,0,0.4583333333333333,0.0,wrong
fly,transformer,3,32,0.5,0.125,wrong
fly,transformer,3,64,0.375,0.0,wrong
fly,transformer,3,128,0.0,0.0,wrong
fly,transformer,3,256,0.0,0.0,wrong
mlp,fly7102,1,0,0.5833333333333334,0.125,correct
mlp,fly7102,1,32,0.5416666666666666,0.25,correct
mlp,fly7102,1,64,0.5,0.125,correct
mlp,fly7102,1,128,0.5833333333333334,0.25,correct
mlp,fly7102,1,256,0.9583333333333334,0.875,correct
mlp,fly7102,1,512,1.0,1.0,correct
mlp,fly7102,1,0,0.5833333333333334,0.125,wrong
mlp,fly7102,1,32,0.5833333333333334,0.0,wrong
mlp,fly7102,1,64,0.5,0.0,wrong
mlp,fly7102,1,128,0.4166666666666667,0.125,wrong
