teacher,budget,rep,policy_acc,sequence_acc,survivors
fly,4,0,0.5416666666666666,0.125,6048
fly,4,1,0.5833333333333334,0.0,5712
fly,4,2,0.5833333333333334,0.25,5712
fly,4,3,0.5416666666666666,0.125,6048
fly,4,4,0.6666666666666666,0.125,5184
fly,4,5,0.5416666666666666,0.125,5712
fly,4,6,0.5416666666666666,0.125,5376
fly,4,7,0.5833333333333334,0.125,5712
fly,4,8,0.5416666666666666,0.0,5712
fly,4,9,0.5416666666666666,0.125,6048
fly,4,10,0.5416666666666666,0.125,5712
fly,4,11,0.625,0.125,5712
fly,4,12,0.625,0.125,5712
fly,4,13,0.5416666666666666,0.125,6048
fly,4,14,0.5416666666666666,0.125,5712
fly,4,15,0.5833333333333334,0.125,5376
fly,4,16,0.5833333333333334,0.0,5712
fly,4,17,0.625,0.125,5712
fly,4,18,0.5416666666666666,0.125,5712
fly,4,19,0.6666666666666666,0.25,5712
fly,4,20,0.5416666666666666,0.0,5712
fly,4,21,0.5416666666666666,0.125,5712
fly,4,22,0.625,0.125,6048
fly,4,23,0.5833333333333334,0.0,5712
fly,4,24,0.75,0.25,5184
fly,4,25,0.5833333333333334,0.0,5184
fly,4,26,0.75,0.25,5184
fly,4,27,0.5416666666666666,0.0,5376
fly,4,28,0.7083333333333334,0.25,5712
fly,4,29,0.5416666666666666,0.125,5712
fly,4,30,0.5416666666666666,0.125,5712
fly,4,31,0.5833333333333334,0.125,5376
fly,4,32,0.5833333333333334,0.125,5712
fly,4,33,0.5,0.0,5712
fly,4,34,0.7083333333333334,0.25,5712
fly,4,35,0.5416666666666666,0.0,5712
fly,4,36,0.625,0.125,5712
fly,4,37,0.625,0.125,6048
fly,4,38,0.5833333333333334,0.125,5376
fly,4,39,0.4583333333333333,0.125,5712
fly,8,0,0.75,0.5,390
fly,8,1,0.6666666666666666,0.25,402
fly,8,2,0.75,0.375,356
fly,8,3,0.625,0.375,360
fly,8,4,0.6666666666666666,0.125,330
fly,8,5,0.75,0.375,356
fly,8,6,0.6666666666666666,0.125,336
fly,8,7,0.625,0.125,351
fly,8,8,0.75,0.25,356
fly,8,9,0.7083333333333334,0.375,360
fly,8,10,0.6666666666666666,0.125,383
fly,8,11,0.6666666666666666,0.375,363
fly,8,12,0.6666666666666666,0.125,383
fly,8,13,0.7916666666666666,0.375,342
fly,8,14,0.6666666666666666,0.125,383
fly,8,15,0.8333333333333334,0.5,340
fly,8,16,0.6666666666666666,0.375,321
fly,8,17,0.75,0.25,356
fly,8,18,0.7916666666666666,0.5,357
fly,8,19,0.625,0.125,351
fly,8,20,0.7083333333333334,0.375,360
fly,8,21,0.7916666666666666,0.5,357
fly,8,22,0.6666666666666666,0.375,363
fly,8,23,0.75,0.25,356
fly,8,24,0.7916666666666666,0.375,358
fly,8,25,0.6666666666666666,0.25,310
fly,8,26,0.75,0.375,336
fly,8,27,0.5833333333333334,0.0,390
fly,8,28,0.75,0.375,356
fly,8,29,0.6666666666666666,0.25,363
fly,8,30,0.6666666666666666,0.125,260
fly,8,31,0.7916666666666666,0.5,357
fly,8,32,0.6666666666666666,0.125,348
fly,8,33,0.8333333333333334,0.5,340
fly,8,34,0.625,0.375,360
fly,8,35,0.8333333333333334,0.5,340
fly,8,36,0.625,0.125,358
fly,8,37,0.75,0.25,340
fly,8,38,0.625,0.375,360
fly,8,39,0.75,0.25,340
fly,12,0,0.9166666666666666,0.75,22
fly,12,1,0.9166666666666666,0.75,22
fly,12,2,0.9166666666666666,0.875,22
fly,12,3,0.875,0.625,19
fly,12,4,0.9166666666666666,0.75,21
fly,12,5,0.875,0.75,21
fly,12,6,0.9583333333333334,0.875,24
fly,12,7,1.0,1.0,25
fly,12,8,0.9166666666666666,0.75,21
fly,12,9,0.8333333333333334,0.5,22
fly,12,10,0.9166666666666666,0.75,20
fly,12,11,0.9166666666666666,0.75,19
fly,12,12,0.875,0.625,21
fly,12,13,0.9583333333333334,0.875,21
fly,12,14,0.9166666666666666,0.75,19
fly,12,15,0.875,0.625,20
fly,12,16,0.9583333333333334,0.875,24
fly,12,17,0.8333333333333334,0.625,23
fly,12,18,0.9166666666666666,0.75,22
fly,12,19,0.9166666666666666,0.75,21
fly,12,20,0.9583333333333334,0.875,23
fly,12,21,1.0,1.0,19
fly,12,22,0.9166666666666666,0.75,22
fly,12,23,0.875,0.625,19
fly,12,24,0.9583333333333334,0.875,22
fly,12,25,0.9583333333333334,0.875,23
fly,12,26,0.875,0.75,21
fly,12,27,0.9583333333333334,0.875,23
fly,12,28,0.9166666666666666,0.75,21
fly,12,29,0.9166666666666666,0.75,21
fly,12,30,0.8333333333333334,0.625,24
fly,12,31,1.0,1.0,25
fly,12,32,0.8333333333333334,0.625,21
fly,12,33,0.8333333333333334,0.625,24
fly,12,34,0.8333333333333334,0.625,23
fly,12,35,0.9583333333333334,0.875,24
fly,12,36,0.875,0.625,29
fly,12,37,0.9166666666666666,0.75,19
fly,12,38,0.8333333333333334,0.625,23
fly,12,39,0.9166666666666666,0.75,27
fly,16,0,1.0,1.0,4
fly,16,1,1.0,1.0,4
fly,16,2,1.0,1.0,4
fly,16,3,1.0,1.0,4
fly,16,4,1.0,1.0,4
fly,16,5,1.0,1.0,4
fly,16,6,1.0,1.0,4
fly,16,7,1.0,1.0,4
fly,16,8,1.0,1.0,4
