teacher,student,rep,calibration_queries,ground_policy_acc,ground_sequence_acc,survivors,identity_packet_policy_acc,identity_packet_sequence_acc,final_action_acc,final_sequence_acc,alien_action_swap,flyseed
transformer,fly,0,16,1.0,1.0,2,0.4166666666666667,0.0,1.0,1.0,0,7102
transformer,fly,1,16,1.0,1.0,2,0.4583333333333333,0.0,1.0,1.0,1,7103
transformer,fly,2,16,1.0,1.0,2,0.4166666666666667,0.0,1.0,1.0,1,7102
transformer,fly,3,16,1.0,1.0,2,0.5416666666666666,0.125,1.0,1.0,1,7103
transformer,fly,4,16,1.0,1.0,2,0.2916666666666667,0.0,1.0,1.0,0,7102
transformer,fly,5,16,1.0,1.0,2,0.5,0.125,1.0,1.0,0,7103
transformer,fly,6,16,1.0,1.0,3,0.4166666666666667,0.0,1.0,1.0,0,7102
transformer,fly,7,16,1.0,1.0,2,0.4583333333333333,0.125,1.0,1.0,1,7103
transformer,fly,8,16,1.0,1.0,3,0.4583333333333333,0.125,1.0,1.0,0,7102
transformer,fly,9,16,1.0,1.0,2,0.4583333333333333,0.125,1.0,1.0,0,7103
transformer,fly,10,16,1.0,1.0,2,0.5416666666666666,0.125,1.0,1.0,0,7102
transformer,fly,11,16,1.0,1.0,2,0.5,0.125,1.0,1.0,0,7103
fly,transformer,0,16,1.0,1.0,4,0.5416666666666666,0.125,1.0,1.0,0,
fly,transformer,1,16,1.0,1.0,4,0.5833333333333334,0.125,1.0,1.0,0,
fly,transformer,2,16,1.0,1.0,4,0.4583333333333333,0.125,1.0,1.0,0,
fly,transformer,3,16,1.0,1.0,4,0.375,0.0,1.0,1.0,0,
fly,transformer,4,16,1.0,1.0,4,0.5416666666666666,0.125,1.0,1.0,0,
fly,transformer,5,16,1.0,1.0,4,0.5416666666666666,0.25,0.7916666666666666,0.5,0,
fly,transformer,6,16,1.0,1.0,4,0.4583333333333333,0.125,1.0,1.0,1,
fly,transformer,7,16,1.0,1.0,4,0.7083333333333334,0.25,0.8333333333333334,0.5,0,
fly,transformer,8,16,1.0,1.0,4,0.5416666666666666,0.125,1.0,1.0,0,
fly,transformer,9,16,1.0,1.0,4,0.5,0.125,1.0,1.0,0,
fly,transformer,10,16,1.0,1.0,4,0.3333333333333333,0.0,1.0,1.0,1,
fly,transformer,11,16,1.0,1.0,4,0.4583333333333333,0.0,1.0,1.0,0,
