direction,rep,ground_action,ground_sequence,final_action,final_sequence
t2f,0,1.0,1.0,0.8333333333333334,0.5
t2f,1,1.0,1.0,0.9166666666666666,0.75
t2f,2,1.0,1.0,0.9583333333333334,0.875
t2f,3,1.0,1.0,0.8333333333333334,0.625
t2f,4,1.0,1.0,0.9166666666666666,0.75
t2f,5,1.0,1.0,0.7916666666666666,0.625
t2f,6,1.0,1.0,0.8333333333333334,0.625
t2f,7,1.0,1.0,0.8333333333333334,0.625
t2f,8,1.0,1.0,0.8333333333333334,0.5
t2f,9,1.0,1.0,0.9583333333333334,0.875
t2f,10,1.0,1.0,0.7916666666666666,0.5
t2f,11,1.0,1.0,0.9166666666666666,0.75
f2t,0,1.0,1.0,1.0,1.0
f2t,1,1.0,1.0,1.0,1.0
f2t,2,1.0,1.0,1.0,1.0
f2t,3,1.0,1.0,1.0,1.0
f2t,4,1.0,1.0,1.0,1.0
f2t,5,1.0,1.0,1.0,1.0
f2t,6,1.0,1.0,1.0,1.0
f2t,7,1.0,1.0,1.0,1.0
f2t,8,1.0,1.0,1.0,1.0
f2t,9,1.0,1.0,1.0,1.0
f2t,10,1.0,1.0,1.0,1.0
f2t,11,1.0,1.0,1.0,1.0
