teacher,budget,n,mean_policy_acc,mean_sequence_acc,perfect
transformer,4,100,0.6124999999999999,0.2425,0
transformer,6,100,0.6895833333333333,0.3775,0
transformer,8,100,0.7724999999999999,0.4925,0
transformer,10,100,0.8154166666666667,0.5875,0
transformer,12,100,0.88,0.70375,3
transformer,14,100,0.9633333333333333,0.9025,48
transformer,16,100,0.9983333333333334,0.995,96
transformer,18,100,1.0,1.0,100
fly,4,100,0.6195833333333333,0.33375,0
fly,6,100,0.6916666666666668,0.42375,0
fly,8,100,0.7508333333333336,0.485,0
fly,10,100,0.8241666666666667,0.58,0
fly,12,100,0.8887499999999998,0.72,0
fly,14,100,0.94875,0.8675,32
fly,16,100,0.99875,0.99625,97
fly,18,100,1.0,1.0,100
