teacher,budget,rep,policy_acc,sequence_acc,alive_swaps,candidate_edges
transformer,4,0,0.6666666666666666,0.375,2,104
transformer,4,1,0.6666666666666666,0.375,2,104
transformer,4,2,0.625,0.25,2,104
transformer,4,3,0.5416666666666666,0.125,2,104
transformer,4,4,0.625,0.25,2,104
transformer,4,5,0.625,0.25,2,104
transformer,4,6,0.625,0.125,2,104
transformer,4,7,0.5833333333333334,0.25,2,104
transformer,4,8,0.6666666666666666,0.25,2,104
transformer,4,9,0.625,0.125,2,104
transformer,4,10,0.625,0.25,2,104
transformer,4,11,0.6666666666666666,0.375,2,104
transformer,4,12,0.5833333333333334,0.25,2,104
transformer,4,13,0.5416666666666666,0.125,2,104
transformer,4,14,0.625,0.375,2,104
transformer,4,15,0.625,0.125,2,104
transformer,4,16,0.5,0.125,2,104
transformer,4,17,0.6666666666666666,0.375,2,104
transformer,4,18,0.625,0.25,2,104
transformer,4,19,0.5,0.0,2,104
transformer,4,20,0.625,0.375,2,104
transformer,4,21,0.5833333333333334,0.0,2,104
transformer,4,22,0.625,0.375,2,104
transformer,4,23,0.625,0.375,2,104
transformer,4,24,0.75,0.375,2,104
transformer,4,25,0.75,0.375,2,104
transformer,4,26,0.75,0.375,2,104
transformer,4,27,0.5416666666666666,0.125,2,104
transformer,4,28,0.5833333333333334,0.0,2,104
transformer,4,29,0.625,0.25,2,104
transformer,4,30,0.5833333333333334,0.25,2,104
transformer,4,31,0.5416666666666666,0.125,2,104
transformer,4,32,0.6666666666666666,0.375,2,104
transformer,4,33,0.625,0.25,2,104
transformer,4,34,0.5416666666666666,0.125,2,104
transformer,4,35,0.6666666666666666,0.125,2,104
transformer,4,36,0.75,0.375,2,104
transformer,4,37,0.5833333333333334,0.125,2,104
transformer,4,38,0.625,0.25,2,104
transformer,4,39,0.5,0.125,2,104
transformer,4,40,0.5833333333333334,0.25,2,104
transformer,4,41,0.625,0.375,2,104
transformer,4,42,0.625,0.375,2,104
transformer,4,43,0.625,0.375,2,104
transformer,4,44,0.5416666666666666,0.125,2,104
transformer,4,45,0.5833333333333334,0.25,2,104
transformer,4,46,0.5416666666666666,0.125,2,104
transformer,4,47,0.6666666666666666,0.375,2,104
transformer,4,48,0.625,0.375,2,104
transformer,4,49,0.625,0.375,2,104
transformer,4,50,0.5416666666666666,0.125,2,104
transformer,4,51,0.75,0.375,2,104
transformer,4,52,0.5833333333333334,0.25,2,104
transformer,4,53,0.5833333333333334,0.25,2,104
transformer,4,54,0.625,0.125,2,104
transformer,4,55,0.625,0.375,2,104
transformer,4,56,0.5416666666666666,0.125,2,104
transformer,4,57,0.625,0.125,2,104
transformer,4,58,0.5416666666666666,0.125,2,104
transformer,4,59,0.5416666666666666,0.125,2,104
transformer,4,60,0.6666666666666666,0.375,2,104
transformer,4,61,0.625,0.125,2,104
transformer,4,62,0.5833333333333334,0.0,2,104
transformer,4,63,0.625,0.375,2,104
transformer,4,64,0.625,0.375,2,104
transformer,4,65,0.625,0.25,2,104
transformer,4,66,0.5833333333333334,0.25,2,104
transformer,4,67,0.625,0.25,2,104
transformer,4,68,0.625,0.25,2,104
transformer,4,69,0.625,0.25,2,104
transformer,4,70,0.625,0.125,2,104
transformer,4,71,0.5833333333333334,0.125,2,104
transformer,4,72,0.5416666666666666,0.125,2,104
transformer,4,73,0.625,0.25,2,104
transformer,4,74,0.625,0.375,2,104
transformer,4,75,0.625,0.25,2,104
transformer,4,76,0.5416666666666666,0.125,2,104
transformer,4,77,0.625,0.25,2,104
transformer,4,78,0.5833333333333334,0.25,2,104
transformer,4,79,0.5833333333333334,0.375,2,104
transformer,4,80,0.625,0.375,2,104
transformer,4,81,0.5416666666666666,0.125,2,104
transformer,4,82,0.625,0.375,2,104
transformer,4,83,0.75,0.375,2,104
transformer,4,84,0.6666666666666666,0.375,2,104
transformer,4,85,0.6666666666666666,0.375,2,104
transformer,4,86,0.6666666666666666,0.375,2,104
transformer,4,87,0.625,0.25,2,104
transformer,4,88,0.625,0.125,2,104
transformer,4,89,0.5,0.125,2,104
transformer,4,90,0.625,0.125,2,104
transformer,4,91,0.625,0.25,2,104
transformer,4,92,0.625,0.25,2,104
transformer,4,93,0.5833333333333334,0.25,2,104
