direction,rep,condition,ground_action,ground_sequence,queries,final_action,final_sequence,checkpoints,outdim
t2f,0,grounded_culture,1.0,1.0,18,0.9583333333333334,0.875,"{'0': [0.625, 0.25], '64': [0.625, 0.25], '128': [0.625, 0.25], '256': [0.9166666666666666, 0.875], '512': [0.9583333333333334, 0.875]}",8
t2f,0,ungrounded_identity,0.5833333333333334,0.25,0,0.5833333333333334,0.25,"{'0': [0.625, 0.25], '64': [0.625, 0.125], '128': [0.4166666666666667, 0.0], '256': [0.5416666666666666, 0.25], '512': [0.5833333333333334, 0.25]}",8
t2f,0,query_only_no_packet,,,18,0.875,0.625,"{'0': [0.625, 0.25], '64': [0.5833333333333334, 0.25], '128': [0.7083333333333334, 0.5], '256': [0.8333333333333334, 0.5], '512': [0.875, 0.625]}",8
t2f,1,grounded_culture,1.0,1.0,18,0.9583333333333334,0.875,"{'0': [0.3333333333333333, 0.0], '64': [0.5833333333333334, 0.25], '128': [0.6666666666666666, 0.25], '256': [0.7916666666666666, 0.5], '512': [0.9583333333333334, 0.875]}",8
t2f,1,ungrounded_identity,0.4166666666666667,0.0,0,0.4166666666666667,0.0,"{'0': [0.3333333333333333, 0.0], '64': [0.4583333333333333, 0.125], '128': [0.5, 0.0], '256': [0.5416666666666666, 0.125], '512': [0.4166666666666667, 0.0]}",8
t2f,1,query_only_no_packet,,,18,0.875,0.75,"{'0': [0.3333333333333333, 0.0], '64': [0.6666666666666666, 0.375], '128': [0.75, 0.5], '256': [0.7916666666666666, 0.5], '512': [0.875, 0.75]}",8
t2f,2,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.5416666666666666, 0.125], '64': [0.8333333333333334, 0.5], '128': [0.875, 0.625], '256': [0.9583333333333334, 0.875], '512': [1.0, 1.0]}",8
t2f,2,ungrounded_identity,0.4166666666666667,0.125,0,0.4166666666666667,0.125,"{'0': [0.5416666666666666, 0.125], '64': [0.4166666666666667, 0.0], '128': [0.4583333333333333, 0.0], '256': [0.4166666666666667, 0.125], '512': [0.4166666666666667, 0.125]}",8
t2f,2,query_only_no_packet,,,18,0.9166666666666666,0.75,"{'0': [0.5416666666666666, 0.125], '64': [0.7083333333333334, 0.25], '128': [0.7083333333333334, 0.25], '256': [0.8333333333333334, 0.625], '512': [0.9166666666666666, 0.75]}",8
t2f,3,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.5416666666666666, 0.0], '64': [0.5833333333333334, 0.125], '128': [0.7083333333333334, 0.375], '256': [0.9166666666666666, 0.75], '512': [1.0, 1.0]}",8
t2f,3,ungrounded_identity,0.5833333333333334,0.125,0,0.625,0.125,"{'0': [0.5416666666666666, 0.0], '64': [0.4583333333333333, 0.0], '128': [0.5833333333333334, 0.125], '256': [0.625, 0.125], '512': [0.625, 0.125]}",8
t2f,3,query_only_no_packet,,,18,0.8333333333333334,0.5,"{'0': [0.5416666666666666, 0.0], '64': [0.5, 0.0], '128': [0.5833333333333334, 0.0], '256': [0.75, 0.25], '512': [0.8333333333333334, 0.5]}",8
f2t,8,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.4583333333333333, 0.125], '64': [0.9583333333333334, 0.875], '128': [1.0, 1.0], '256': [1.0, 1.0], '512': [1.0, 1.0]}",8
f2t,8,ungrounded_identity,0.5833333333333334,0.375,0,0.5833333333333334,0.375,"{'0': [0.5, 0.0], '64': [0.6666666666666666, 0.25], '128': [0.5833333333333334, 0.375], '256': [0.5833333333333334, 0.375], '512': [0.5833333333333334, 0.375]}",8
f2t,8,query_only_no_packet,,,18,0.9166666666666666,0.875,"{'0': [0.5, 0.125], '64': [0.8333333333333334, 0.625], '128': [0.9166666666666666, 0.875], '256': [0.9166666666666666, 0.875], '512': [0.9166666666666666, 0.875]}",8
f2t,9,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.5, 0.125], '64': [0.9166666666666666, 0.75], '128': [0.9583333333333334, 0.875], '256': [1.0, 1.0], '512': [1.0, 1.0]}",8
f2t,9,ungrounded_identity,0.3333333333333333,0.125,0,0.3333333333333333,0.125,"{'0': [0.5, 0.125], '64': [0.4583333333333333, 0.125], '128': [0.3333333333333333, 0.125], '256': [0.3333333333333333, 0.125], '512': [0.3333333333333333, 0.125]}",8
f2t,9,query_only_no_packet,,,18,0.9166666666666666,0.75,"{'0': [0.4583333333333333, 0.0], '64': [0.875, 0.625], '128': [0.9166666666666666, 0.75], '256': [0.9166666666666666, 0.75], '512': [0.9166666666666666, 0.75]}",8
f2t,10,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.5, 0.0], '64': [0.7916666666666666, 0.375], '128': [1.0, 1.0], '256': [1.0, 1.0], '512': [1.0, 1.0]}",8
f2t,10,ungrounded_identity,0.5,0.125,0,0.5,0.125,"{'0': [0.5416666666666666, 0.25], '64': [0.5, 0.125], '128': [0.5, 0.125], '256': [0.5, 0.125], '512': [0.5, 0.125]}",8
f2t,10,query_only_no_packet,,,18,0.8333333333333334,0.625,"{'0': [0.5, 0.125], '64': [0.7916666666666666, 0.625], '128': [0.8333333333333334, 0.625], '256': [0.8333333333333334, 0.625], '512': [0.8333333333333334, 0.625]}",8
f2t,11,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.5416666666666666, 0.125], '64': [0.9166666666666666, 0.75], '128': [1.0, 1.0], '256': [1.0, 1.0], '512': [1.0, 1.0]}",8
f2t,11,ungrounded_identity,0.5,0.0,0,0.5,0.0,"{'0': [0.5, 0.0], '64': [0.625, 0.25], '128': [0.5, 0.0], '256': [0.5, 0.0], '512': [0.5, 0.0]}",8
f2t,11,query_only_no_packet,,,18,0.8333333333333334,0.75,"{'0': [0.4166666666666667, 0.125], '64': [0.7916666666666666, 0.5], '128': [0.7916666666666666, 0.625], '256': [0.8333333333333334, 0.75], '512': [0.8333333333333334, 0.75]}",8
f2t,4,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.5, 0.0], '64': [0.75, 0.5], '128': [1.0, 1.0], '256': [1.0, 1.0], '512': [1.0, 1.0]}",8
f2t,4,ungrounded_identity,0.3333333333333333,0.125,0,0.3333333333333333,0.125,"{'0': [0.4583333333333333, 0.0], '64': [0.4166666666666667, 0.125], '128': [0.3333333333333333, 0.125], '256': [0.3333333333333333, 0.125], '512': [0.3333333333333333, 0.125]}",8
f2t,4,query_only_no_packet,,,18,0.75,0.625,"{'0': [0.5, 0.0], '64': [0.7083333333333334, 0.5], '128': [0.75, 0.625], '256': [0.75, 0.625], '512': [0.75, 0.625]}",8
f2t,5,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.5, 0.125], '64': [0.9583333333333334, 0.875], '128': [1.0, 1.0], '256': [1.0, 1.0], '512': [1.0, 1.0]}",8
f2t,5,ungrounded_identity,0.4166666666666667,0.125,0,0.4166666666666667,0.125,"{'0': [0.5, 0.0], '64': [0.4583333333333333, 0.125], '128': [0.4583333333333333, 0.125], '256': [0.4166666666666667, 0.125], '512': [0.4166666666666667, 0.125]}",8
f2t,5,query_only_no_packet,,,18,0.9166666666666666,0.75,"{'0': [0.5, 0.0], '64': [0.9166666666666666, 0.75], '128': [0.9166666666666666, 0.75], '256': [0.9166666666666666, 0.75], '512': [0.9166666666666666, 0.75]}",8
f2t,6,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.5, 0.0], '64': [0.9166666666666666, 0.75], '128': [1.0, 1.0], '256': [1.0, 1.0], '512': [1.0, 1.0]}",8
f2t,6,ungrounded_identity,0.5833333333333334,0.25,0,0.5833333333333334,0.25,"{'0': [0.4166666666666667, 0.0], '64': [0.5833333333333334, 0.25], '128': [0.5833333333333334, 0.25], '256': [0.5833333333333334, 0.25], '512': [0.5833333333333334, 0.25]}",8
f2t,6,query_only_no_packet,,,18,0.9166666666666666,0.75,"{'0': [0.375, 0.125], '64': [0.9166666666666666, 0.75], '128': [0.875, 0.75], '256': [0.875, 0.75], '512': [0.9166666666666666, 0.75]}",8
f2t,7,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.4166666666666667, 0.0], '64': [0.9583333333333334, 0.875], '128': [1.0, 1.0], '256': [1.0, 1.0], '512': [1.0, 1.0]}",8
f2t,7,ungrounded_identity,0.6666666666666666,0.5,0,0.6666666666666666,0.5,"{'0': [0.4166666666666667, 0.0], '64': [0.5833333333333334, 0.25], '128': [0.6666666666666666, 0.5], '256': [0.6666666666666666, 0.5], '512': [0.6666666666666666, 0.5]}",8
f2t,7,query_only_no_packet,,,18,0.875,0.75,"{'0': [0.5, 0.125], '64': [0.8333333333333334, 0.625], '128': [0.875, 0.75], '256': [0.875, 0.75], '512': [0.875, 0.75]}",8
t2f,8,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.4166666666666667, 0.0], '64': [0.5416666666666666, 0.125], '128': [0.625, 0.125], '256': [0.9583333333333334, 0.875], '512': [1.0, 1.0]}",8
t2f,8,ungrounded_identity,0.5833333333333334,0.25,0,0.5833333333333334,0.25,"{'0': [0.4166666666666667, 0.0], '64': [0.5833333333333334, 0.125], '128': [0.375, 0.0], '256': [0.5416666666666666, 0.25], '512': [0.5833333333333334, 0.25]}",8
t2f,8,query_only_no_packet,,,18,0.8333333333333334,0.75,"{'0': [0.4166666666666667, 0.0], '64': [0.5833333333333334, 0.125], '128': [0.7083333333333334, 0.25], '256': [0.875, 0.75], '512': [0.8333333333333334, 0.75]}",8
t2f,9,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.625, 0.25], '64': [0.625, 0.25], '128': [0.7916666666666666, 0.5], '256': [0.9583333333333334, 0.875], '512': [1.0, 1.0]}",8
t2f,9,ungrounded_identity,0.6666666666666666,0.25,0,0.6666666666666666,0.25,"{'0': [0.625, 0.25], '64': [0.5833333333333334, 0.125], '128': [0.5416666666666666, 0.125], '256': [0.625, 0.25], '512': [0.6666666666666666, 0.25]}",8
t2f,9,query_only_no_packet,,,18,0.875,0.625,"{'0': [0.625, 0.25], '64': [0.6666666666666666, 0.375], '128': [0.7916666666666666, 0.75], '256': [0.875, 0.625], '512': [0.875, 0.625]}",8
t2f,10,grounded_culture,1.0,1.0,18,1.0,1.0,"{'0': [0.4166666666666667, 0.0], '64': [0.5833333333333334, 0.25], '128': [0.75, 0.25], '256': [0.9583333333333334, 0.875], '512': [1.0, 1.0]}",8
