direction,rep,condition,queries,queried_decision_states,local_states,decision_states,ground_action,ground_sequence,ground_role,steps,final_action,final_sequence,cp128_action,cp128_sequence,cp256_action,cp256_sequence
f2t,0,grounded_culture,36,19,68,48,1.0,1.0,1.0,512,1.0,1.0,0.75,0.125,0.9583333333333334,0.75
f2t,0,query_only_no_packet,36,19,68,48,,,,512,0.5833333333333334,0.125,0.5833333333333334,0.125,0.5833333333333334,0.125
f2t,0,ungrounded_identity,0,0,68,48,,,,512,0.25,0.0,0.25,0.0,0.2083333333333333,0.0
f2t,1,grounded_culture,36,23,61,48,1.0,1.0,1.0,512,1.0,1.0,0.8125,0.25,0.9791666666666666,0.875
f2t,1,query_only_no_packet,36,23,61,48,,,,512,0.6458333333333334,0.125,0.6458333333333334,0.125,0.6458333333333334,0.125
f2t,1,ungrounded_identity,0,0,61,48,,,,512,0.2708333333333333,0.0,0.2916666666666667,0.0,0.2708333333333333,0.0
f2t,2,grounded_culture,36,20,66,48,1.0,1.0,1.0,512,1.0,1.0,0.7916666666666666,0.25,0.9791666666666666,0.875
f2t,2,query_only_no_packet,36,20,66,48,,,,512,0.5,0.0,0.5,0.0,0.5208333333333334,0.0
f2t,2,ungrounded_identity,0,0,66,48,,,,512,0.1875,0.0,0.2291666666666666,0.0,0.1666666666666666,0.0
f2t,3,grounded_culture,36,24,69,48,1.0,1.0,1.0,512,1.0,1.0,0.7708333333333334,0.125,0.9791666666666666,0.875
f2t,3,query_only_no_packet,36,24,69,48,,,,512,0.625,0.0,0.5625,0.0,0.625,0.0
f2t,3,ungrounded_identity,0,0,69,48,,,,512,0.25,0.0,0.2291666666666666,0.0,0.2083333333333333,0.0
f2t,4,grounded_culture,36,22,62,48,1.0,1.0,1.0,512,1.0,1.0,0.7708333333333334,0.25,0.9375,0.75
f2t,4,query_only_no_packet,36,22,62,48,,,,512,0.5,0.0,0.5,0.0,0.5,0.0
f2t,4,ungrounded_identity,0,0,62,48,,,,512,0.2708333333333333,0.0,0.2916666666666667,0.0,0.2708333333333333,0.0
f2t,5,grounded_culture,36,23,66,48,1.0,1.0,1.0,512,1.0,1.0,0.7916666666666666,0.125,0.9583333333333334,0.875
f2t,5,query_only_no_packet,36,23,66,48,,,,512,0.5833333333333334,0.0,0.5625,0.0,0.5833333333333334,0.0
f2t,5,ungrounded_identity,0,0,66,48,,,,512,0.25,0.0,0.2708333333333333,0.0,0.2916666666666667,0.0
t2f,0,grounded_culture,36,21,69,48,1.0,1.0,1.0,1024,1.0,1.0,0.4791666666666667,0.0,0.7083333333333334,0.125
t2f,0,query_only_no_packet,36,21,69,48,,,,1024,0.5833333333333334,0.0,0.3333333333333333,0.0,0.5625,0.0
t2f,0,ungrounded_identity,0,0,69,48,,,,1024,0.2708333333333333,0.0,0.2916666666666667,0.0,0.2916666666666667,0.0
t2f,1,grounded_culture,36,23,67,48,1.0,1.0,1.0,1024,1.0,1.0,0.5416666666666666,0.0,0.7916666666666666,0.125
t2f,1,query_only_no_packet,36,23,67,48,,,,1024,0.6041666666666666,0.125,0.4791666666666667,0.0,0.5625,0.0
t2f,1,ungrounded_identity,0,0,67,48,,,,1024,0.2083333333333333,0.0,0.1666666666666666,0.0,0.2291666666666666,0.0
t2f,2,grounded_culture,36,20,70,48,1.0,1.0,1.0,1024,0.9791666666666666,0.875,0.7083333333333334,0.25,0.875,0.375
t2f,2,query_only_no_packet,36,20,70,48,,,,1024,0.6458333333333334,0.0,0.625,0.125,0.7083333333333334,0.0
t2f,2,ungrounded_identity,0,0,70,48,,,,1024,0.2291666666666666,0.0,0.2708333333333333,0.0,0.2291666666666666,0.0
t2f,3,grounded_culture,36,22,65,48,1.0,1.0,1.0,1024,1.0,1.0,0.5416666666666666,0.0,0.7291666666666666,0.125
t2f,3,query_only_no_packet,36,22,65,48,,,,1024,0.625,0.0,0.5416666666666666,0.0,0.6041666666666666,0.0
t2f,3,ungrounded_identity,0,0,65,48,,,,1024,0.1458333333333333,0.0,0.1458333333333333,0.0,0.1666666666666666,0.0
t2f,4,grounded_culture,36,26,70,48,1.0,1.0,1.0,1024,1.0,1.0,0.5625,0.0,0.6875,0.125
t2f,4,query_only_no_packet,36,26,70,48,,,,1024,0.7083333333333334,0.0,0.5,0.0,0.7291666666666666,0.125
t2f,4,ungrounded_identity,0,0,70,48,,,,1024,0.2083333333333333,0.0,0.2083333333333333,0.0,0.1875,0.0
t2f,5,grounded_culture,36,20,65,48,1.0,1.0,1.0,1024,1.0,1.0,0.625,0.0,0.7291666666666666,0.25
t2f,5,query_only_no_packet,36,20,65,48,,,,1024,0.6041666666666666,0.0,0.5625,0.0,0.6041666666666666,0.0
t2f,5,ungrounded_identity,0,0,65,48,,,,1024,0.2083333333333333,0.0,0.3125,0.0,0.2291666666666666,0.0
