teacher,budget,rep,local_states,decision_states,action_acc,sequence_acc,role_acc
fly,36,0,66,48,1.0,1.0,1.0
fly,36,1,69,48,1.0,1.0,1.0
fly,36,2,66,48,1.0,1.0,1.0
fly,36,3,68,48,1.0,1.0,1.0
fly,36,4,65,48,1.0,1.0,1.0
fly,36,5,63,48,1.0,1.0,1.0
fly,36,6,69,48,1.0,1.0,1.0
fly,36,7,70,48,1.0,1.0,1.0
fly,36,8,65,48,1.0,1.0,1.0
fly,36,9,71,48,1.0,1.0,1.0
fly,36,10,69,48,1.0,1.0,1.0
fly,36,11,66,48,1.0,1.0,1.0
fly,36,12,67,48,1.0,1.0,1.0
fly,36,13,69,48,1.0,1.0,1.0
fly,36,14,62,48,1.0,1.0,1.0
fly,36,15,68,48,1.0,1.0,1.0
fly,36,16,70,48,1.0,1.0,1.0
fly,36,17,65,48,1.0,1.0,1.0
fly,36,18,71,48,1.0,1.0,1.0
fly,36,19,69,48,1.0,1.0,1.0
