teacher,budget,rep,local_states,decision_states,action_acc,sequence_acc,role_acc
transformer,36,0,65,48,1.0,1.0,1.0
transformer,36,1,66,48,1.0,1.0,1.0
transformer,36,2,60,48,1.0,1.0,1.0
transformer,36,3,68,48,1.0,1.0,1.0
transformer,36,4,65,48,1.0,1.0,1.0
transformer,36,5,67,48,1.0,1.0,1.0
transformer,36,6,64,48,1.0,1.0,1.0
transformer,36,7,67,48,1.0,1.0,1.0
transformer,36,8,68,48,1.0,1.0,1.0
transformer,36,9,64,48,1.0,1.0,1.0
transformer,36,10,68,48,1.0,1.0,1.0
transformer,36,11,71,48,1.0,1.0,1.0
transformer,36,12,63,48,1.0,1.0,1.0
transformer,36,13,69,48,1.0,1.0,1.0
transformer,36,14,73,48,1.0,1.0,1.0
transformer,36,15,68,48,1.0,1.0,1.0
transformer,36,16,71,48,1.0,1.0,1.0
transformer,36,17,71,48,1.0,1.0,1.0
transformer,36,18,65,48,1.0,1.0,1.0
transformer,36,19,68,48,1.0,1.0,1.0
